IP,Blokkert_tid,Kilde,VT_Malicious,VT_Suspicious,AbuseIPDB_Score,AbuseIPDB_Reports,Land,ISP
27.110.166.67,2026-07-03T05:49:55.416643,auto,12,4,N/A,N/A,PH,Unknown
101.36.122.129,2026-07-03T05:49:55.416648,auto,11,3,N/A,N/A,HK,Unknown
101.13.4.124,2026-07-03T05:49:55.416651,auto,9,6,N/A,N/A,TW,Unknown
101.34.59.249,2026-07-03T05:49:55.416655,auto,9,3,N/A,N/A,CN,Unknown
213.209.159.231,2026-07-03T05:49:55.416659,auto,16,3,N/A,N/A,TW,Unknown
101.13.6.91,2026-07-03T05:49:55.416662,auto,13,3,N/A,N/A,TW,Unknown
5.226.140.67,2026-07-03T05:49:55.416665,auto,13,3,N/A,N/A,GB,Unknown
101.126.71.100,2026-07-03T05:49:55.416669,auto,12,4,N/A,N/A,CN,Unknown
85.217.149.42,2026-07-03T05:49:55.416672,auto,10,3,N/A,N/A,CA,Unknown
182.44.10.68,2026-07-03T05:49:55.416676,auto,8,5,N/A,N/A,CN,Unknown
45.227.254.156,2026-07-03T05:49:55.416680,auto,12,4,N/A,N/A,PA,Unknown
101.33.55.172,2026-07-03T05:49:55.416683,auto,8,2,N/A,N/A,SG,Unknown
152.32.247.22,2026-07-03T05:49:55.416687,auto,12,2,N/A,N/A,TH,Unknown
159.203.120.106,2026-07-03T05:49:55.416691,auto,8,3,N/A,N/A,US,Unknown
41.191.229.226,2026-07-03T05:49:55.416694,auto,11,4,N/A,N/A,MU,Unknown
101.34.249.202,2026-07-03T05:49:55.416698,auto,1,4,100,1424,CN,"Tencent Cloud Computing (Beijing) Co., Ltd"
100.10.11.74,2026-07-03T05:49:55.416703,auto,1,1,4,1,US,Verizon Business
101.13.5.32,2026-07-03T05:49:55.416707,auto,12,3,N/A,N/A,TW,Unknown
101.13.4.119,2026-07-03T05:49:55.416711,auto,10,2,N/A,N/A,TW,Unknown
139.59.18.80,2026-07-03T05:49:55.416714,auto,10,4,N/A,N/A,IN,Unknown
101.100.194.252,2026-07-03T05:49:55.416718,auto,5,1,N/A,N/A,SG,Unknown
1.14.28.29,2026-07-03T05:49:55.416722,auto,6,4,N/A,N/A,CN,Unknown
1.0.164.165,2026-07-03T05:49:55.416726,auto,10,5,N/A,N/A,TH,Unknown
101.36.110.164,2026-07-03T05:49:55.416729,auto,12,4,N/A,N/A,HK,Unknown
101.126.22.12,2026-07-03T05:49:55.416733,auto,13,4,N/A,N/A,CN,Unknown
1.1.220.166,2026-07-03T05:49:55.416736,auto,11,6,N/A,N/A,TH,Unknown
104.46.226.61,2026-07-03T05:49:55.416740,auto,2,3,100,216,JP,Microsoft Corporation
120.48.7.181,2026-07-03T05:49:55.416744,auto,8,3,N/A,N/A,CN,Unknown
87.106.65.126,2026-07-03T05:49:55.416747,auto,9,3,N/A,N/A,GB,Unknown
1.250.67.114,2026-07-03T05:49:55.416751,auto,10,4,N/A,N/A,KR,Unknown
1.234.75.81,2026-07-03T05:49:55.416755,auto,7,6,N/A,N/A,KR,Unknown
59.46.193.187,2026-07-03T05:49:55.416758,auto,13,2,N/A,N/A,CN,Unknown
101.126.86.90,2026-07-03T05:49:55.416762,auto,6,6,N/A,N/A,CN,Unknown
1.27.191.135,2026-07-03T05:49:55.416765,auto,0,0,0,0,CN,China unicom InnerMongolia province network
101.126.145.214,2026-07-03T05:49:55.416774,auto,9,6,N/A,N/A,CN,Unknown
64.89.163.245,2026-07-03T05:49:55.416777,auto,10,4,N/A,N/A,US,Unknown
159.192.144.206,2026-07-03T05:49:55.416781,auto,10,3,N/A,N/A,TH,Unknown
20.13.164.162,2026-07-03T05:49:55.416785,auto,5,2,N/A,N/A,IE,Unknown
101.35.93.253,2026-07-03T05:49:55.416788,auto,3,4,N/A,N/A,CN,Unknown
91.92.40.13,2026-07-03T05:49:55.416791,auto,13,5,N/A,N/A,NL,Unknown
101.126.130.208,2026-07-03T05:49:55.416795,auto,12,5,N/A,N/A,CN,Unknown
85.90.246.159,2026-07-03T05:49:55.416799,auto,12,2,N/A,N/A,DE,Unknown
101.126.54.66,2026-07-03T05:49:55.416802,auto,10,5,N/A,N/A,CN,Unknown
186.31.95.163,2026-07-03T05:49:55.416806,auto,14,3,N/A,N/A,CO,Unknown
1.82.133.130,2026-07-03T05:49:55.416809,auto,13,3,N/A,N/A,CN,Unknown
101.109.255.242,2026-07-03T05:49:55.416812,auto,7,6,N/A,N/A,TH,Unknown
100.42.183.202,2026-07-03T05:49:55.416816,auto,4,1,N/A,N/A,DE,Unknown
101.126.157.138,2026-07-03T05:49:55.416820,auto,12,4,N/A,N/A,CN,Unknown
101.200.61.10,2026-07-03T05:49:55.416823,auto,3,2,N/A,N/A,CN,Unknown
43.173.69.147,2026-07-03T05:49:55.416827,auto,12,5,N/A,N/A,US,Unknown
1.192.61.19,2026-07-03T05:49:55.416830,auto,15,2,N/A,N/A,CN,Unknown
101.36.111.155,2026-07-03T05:49:55.416834,auto,16,3,N/A,N/A,HK,Unknown
43.156.212.6,2026-07-03T05:49:55.416837,auto,10,3,N/A,N/A,SG,Unknown
73.88.196.91,2026-07-03T05:49:55.416841,auto,10,2,N/A,N/A,US,Unknown
101.33.33.44,2026-07-03T05:49:55.416844,auto,3,2,N/A,N/A,SG,Unknown
14.103.140.39,2026-07-03T05:49:55.416848,auto,11,4,N/A,N/A,CN,Unknown
91.231.89.75,2026-07-03T05:49:55.416851,auto,10,5,N/A,N/A,FR,Unknown
1.247.245.61,2026-07-03T05:49:55.416855,auto,10,6,N/A,N/A,KR,Unknown
110.93.224.226,2026-07-03T05:49:55.416859,auto,14,3,N/A,N/A,PK,Unknown
91.231.89.86,2026-07-03T05:49:55.416862,auto,13,3,N/A,N/A,FR,Unknown
1.14.203.20,2026-07-03T05:49:55.416866,auto,3,2,N/A,N/A,CN,Unknown
101.13.5.26,2026-07-03T05:49:55.416870,auto,12,5,N/A,N/A,TW,Unknown
193.163.125.9,2026-07-03T05:49:55.416874,auto,8,4,N/A,N/A,GB,Unknown
45.198.224.244,2026-07-03T05:49:55.416877,auto,14,3,N/A,N/A,US,Unknown
45.148.10.121,2026-07-03T05:49:55.416881,auto,14,1,N/A,N/A,NL,Unknown
116.110.214.207,2026-07-03T05:49:55.416885,auto,0,0,100,116,VN,Viettel Group
